08/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 55 
08/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 53 
08/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 50 
08/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 50 
08/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 70 
08/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 74 
08/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 75 
08/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 77 
08/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 76 
08/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 77 
08/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 78 
09/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 77 
09/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 77 
09/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 75 
09/01/2017; SDA ; Kennedy ; Automática ; 4.62505 ; -74.161333 ; 11 ; CUNDINAMARCA ; 11001 ; BOGOTÁ. D.C. ; Fija ; 1 ; Humedad Relativa ; % ; 69 
